2026-05-11T15:53:13.606+0700	INFO	livekit	server/main.go:210	starting in development mode
2026-05-11T16:04:45.477+0700	DEBUG	livekit	service/rtcservice.go:613	received signal request	{"connID": "CO_oCa87yEireCM", "request": {"Trickle":{"candidateInit":"{\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"candidate\":\"candidate:1150523177 1 udp 2122260223 192.168.100.231 64802 typ host generation 0 ufrag F1Q4 network-id 1 network-cost 50\"}"}}, "room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms"}
2026-05-11T16:04:45.477+0700	DEBUG	livekit	signalling/signalhandler.go:55	handling signal request	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "request": {"offer": {"type": "offer", "sdp": "v=0\r\no=- 5911772117751980429 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=group:BUNDLE 0\r\na=extmap-allow-mixed\r\na=msid-semantic: WMS\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=ice-ufrag:F1Q4\r\na=ice-pwd:SNdXRqE8DXBMoqOkKiChFM9z\r\na=ice-options:trickle\r\na=fingerprint:sha-256 F3:C0:22:96:B6:28:DC:DC:B5:C5:82:72:CD:42:8D:35:6D:65:A8:78:0D:87:E7:7C:3A:71:59:3E:3D:81:C2:5F\r\na=setup:actpass\r\na=mid:0\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n"}}}
2026-05-11T16:04:45.477+0700	DEBUG	livekit.pub	rtc/participant.go:1142	received offer	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "PUBLISHER", "offer": {"type":"offer","sdp":"v=0\r\no=- 5911772117751980429 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=group:BUNDLE 0\r\na=extmap-allow-mixed\r\na=msid-semantic: WMS\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=ice-ufrag:F1Q4\r\na=ice-pwd:SNdXRqE8DXBMoqOkKiChFM9z\r\na=ice-options:trickle\r\na=fingerprint:sha-256 F3:C0:22:96:B6:28:DC:DC:B5:C5:82:72:CD:42:8D:35:6D:65:A8:78:0D:87:E7:7C:3A:71:59:3E:3D:81:C2:5F\r\na=setup:actpass\r\na=mid:0\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n"}, "offerId": 0}
2026-05-11T16:04:45.477+0700	DEBUG	livekit	signalling/signalhandler.go:55	handling signal request	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "request": {"trickle": {"candidateInit": "{\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"candidate\":\"candidate:1150523177 1 udp 2122260223 192.168.100.231 64802 typ host generation 0 ufrag F1Q4 network-id 1 network-cost 50\"}", "target": "PUBLISHER"}}}
2026-05-11T16:04:45.478+0700	DEBUG	livekit.transport	rtc/transport.go:2802	processing offer	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "PUBLISHER", "offerId": 0}
2026-05-11T16:04:45.479+0700	DEBUG	livekit.sub	rtc/participant.go:2169	sending offer	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "SUBSCRIBER", "offer": {"type":"offer","sdp":"v=0\r\no=- 5711639798861977316 1778490285 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 62:02:4D:F0:D3:B2:75:C6:C3:72:63:49:B3:E6:B6:D8:D3:E7:8C:3B:89:31:E8:68:B5:90:29:AC:4D:5C:5E:6E\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:juOzWwQuOVgUvZCM\r\na=ice-pwd:GUWFtBUUADbxSdHtgSKTcnrrMGovLoBD\r\n"}, "offerId": 62, "midToTrackID": {}}
2026-05-11T16:04:45.479+0700	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "response": {"offer": {"type": "offer", "sdp": "v=0\r\no=- 5711639798861977316 1778490285 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 62:02:4D:F0:D3:B2:75:C6:C3:72:63:49:B3:E6:B6:D8:D3:E7:8C:3B:89:31:E8:68:B5:90:29:AC:4D:5C:5E:6E\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:juOzWwQuOVgUvZCM\r\na=ice-pwd:GUWFtBUUADbxSdHtgSKTcnrrMGovLoBD\r\n", "id": 62}}}
2026-05-11T16:04:45.479+0700	DEBUG	livekit	service/rtcservice.go:513	sending offer	{"connID": "CO_oCa87yEireCM", "offer": {"Offer":{"type":"offer","sdp":"v=0\r\no=- 5711639798861977316 1778490285 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 62:02:4D:F0:D3:B2:75:C6:C3:72:63:49:B3:E6:B6:D8:D3:E7:8C:3B:89:31:E8:68:B5:90:29:AC:4D:5C:5E:6E\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:juOzWwQuOVgUvZCM\r\na=ice-pwd:GUWFtBUUADbxSdHtgSKTcnrrMGovLoBD\r\n","id":62}}, "room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms"}
2026-05-11T16:04:45.480+0700	DEBUG	livekit.transport	rtc/transport.go:804	ice gathering state change	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "PUBLISHER", "state": "gathering"}
2026-05-11T16:04:45.480+0700	DEBUG	livekit.pub	rtc/participant.go:1192	sending answer	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "PUBLISHER", "answer": {"type":"answer","sdp":"v=0\r\no=- 6325226329622182368 1778490285 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 B5:B9:24:E8:66:55:A2:28:6A:C6:8B:6D:64:12:05:55:B7:14:43:75:21:DB:6C:06:5B:50:D1:FC:F3:69:78:F9\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:active\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:wTGltKPFLWBiPJxp\r\na=ice-pwd:RirSQzByBefFypIGERPswTGunIhTQWei\r\n"}, "answerId": 0, "midToTrackID": {}}
2026-05-11T16:04:45.480+0700	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "response": {"answer": {"type": "answer", "sdp": "v=0\r\no=- 6325226329622182368 1778490285 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 B5:B9:24:E8:66:55:A2:28:6A:C6:8B:6D:64:12:05:55:B7:14:43:75:21:DB:6C:06:5B:50:D1:FC:F3:69:78:F9\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:active\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:wTGltKPFLWBiPJxp\r\na=ice-pwd:RirSQzByBefFypIGERPswTGunIhTQWei\r\n"}}}
2026-05-11T16:04:45.480+0700	DEBUG	livekit	rtc/participant_signal.go:228	sending ICE candidate	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "SUBSCRIBER", "trickle": {"candidateInit": "{\"candidate\":\"candidate:2134843214 1 udp 2130706431 192.168.100.231 7882 typ host ufrag juOzWwQuOVgUvZCM\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}
2026-05-11T16:04:45.480+0700	DEBUG	livekit	service/rtcservice.go:516	sending answer	{"connID": "CO_oCa87yEireCM", "answer": {"Answer":{"type":"answer","sdp":"v=0\r\no=- 6325226329622182368 1778490285 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 B5:B9:24:E8:66:55:A2:28:6A:C6:8B:6D:64:12:05:55:B7:14:43:75:21:DB:6C:06:5B:50:D1:FC:F3:69:78:F9\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:active\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:wTGltKPFLWBiPJxp\r\na=ice-pwd:RirSQzByBefFypIGERPswTGunIhTQWei\r\n"}}, "room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms"}
2026-05-11T16:04:45.480+0700	DEBUG	livekit.transport	rtc/transport.go:835	ice connection state change	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "PUBLISHER", "state": "checking"}
2026-05-11T16:04:45.481+0700	DEBUG	livekit.transport	rtc/transport.go:846	peer connection state change	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "PUBLISHER", "state": "connecting"}
